Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
接待员,Baizhi,,,,tên riêng (tự điền)
控制台,+2222,,,,tên riêng (tự điền)
提伯里斯,Tiberius,,,,tên riêng (tự điền)
提克威,Tikwe,,,,tên riêng (tự điền)
提托,Titus,,,,tên riêng (tự điền)
提摩西,Timothy,,,,tên riêng (tự điền)
提示音,Âm Báo,,,,tên riêng (tự điền)
提贝里奥,Tiberio,,,,tên riêng (tự điền)
提贾尼,Tijani,,,,tên riêng (tự điền)
插在地上的武器,Vũ khí cắm trên mặt đất,,,,tên riêng (tự điền)
揽欣,888,,,,tên riêng (tự điền)
揽清,Lãm Thanh,,,,tên riêng (tự điền)
摇滚乐发烧友,Tín Đồ Rock,,,,tên riêng (tự điền)
摊主,Chủ Sạp,,,,tên riêng (tự điền)
摩尔瓦,00:46,,,,tên riêng (tự điền)
摸鱼的士兵,Binh Sĩ Lười Biếng,,,,tên riêng (tự điền)
摸鱼的研究员,Nhà Nghiên Cứu Lười Biếng,,,,tên riêng (tự điền)
撑伞的女子【丹煌离火】,Cô Gái Cầm Ô [Đan Hoàng Ly Hỏa],,,,tên riêng (tự điền)
撑伞的小女孩【往日回音】,Bé Gái Cầm Ô [Tiếng Vọng Quá Khứ],,,,tên riêng (tự điền)
撑伞的微笑女子【丹煌离火】,Cô Gái Cầm Ô Mỉm Cười [Đan Hoàng Ly Hỏa],,,,tên riêng (tự điền)
撒迪厄,Thaddeus,,,,tên riêng (tự điền)
撒迪厄斯,Thaddeus,,,,tên riêng (tự điền)
撤离的民众,Dân Chúng Sơ Tán,,,,tên riêng (tự điền)
播报员,Phát thanh viên,,,,tên riêng (tự điền)
播报音,<ano=fluids>Aalto</ano>,,,,tên riêng (tự điền)
播放中的声料,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
播放中的歌声,"Chixia tỷ tỷ đã nói rồi, người dám đối diện với tất cả… hu hu… mới có thể trở thành anh hùng…",,,,tên riêng (tự điền)
操作员A,Điều Hành Viên A,,,,tên riêng (tự điền)
操作员B,Điều Hành Viên B,,,,tên riêng (tự điền)
操作员C,Điều Hành Viên C,,,,tên riêng (tự điền)
操作员D,Điều Hành Viên D,,,,tên riêng (tự điền)
操作员E,Điều Hành Viên E,,,,tên riêng (tự điền)
操作员F,Điều Hành Viên F,,,,tên riêng (tự điền)
操作员G,Điều Hành Viên G,,,,tên riêng (tự điền)
擎如,"Thanh <ano=Sword>kiếm</ano> các cậu tìm thấy là thứ tôi mang về từ Mộ Phần Vẫn Lạc ba năm trước, di vật của <ano=Zi>vợ hắn</ano>.",,,,tên riêng (tự điền)
攀花,『Rover』,,,,tên riêng (tự điền)
支淮,Zhihuai,,,,tên riêng (tự điền)
收容员,Đặc Vụ,,,,tên riêng (tự điền)
收容员A,Đặc Vụ A,,,,tên riêng (tự điền)
收音机,Radio,,,,tên riêng (tự điền)
收音机（主持人）,Radio (MC),,,,tên riêng (tự điền)
收音机（先约主持人）,Radio (MC Tiền Hẹn),,,,tên riêng (tự điền)
收音机（千咲母亲）,Radio (Mẹ Của Chisaki),,,,tên riêng (tự điền)
收音机（女播音员）,Radio (Nữ Phát Thanh Viên),,,,tên riêng (tự điền)
收音机（小爱）,Radio (Tiểu Ái),,,,tên riêng (tự điền)
收音机（拉海洛播音员）,Radio (Phát Thanh Viên Lahai-Roi),,,,tên riêng (tự điền)
收音机（拉海洛播音）,Radio (Phát Thanh Lahai-Roi),,,,tên riêng (tự điền)
收音机（朽叶）,Radio (Hủ Diệp),,,,tên riêng (tự điền)
收音机（秋水）,Radio (Thu Thủy),,,,tên riêng (tự điền)
收音机（？？？）,Radio (???),,,,tên riêng (tự điền)
攸宁,Youning,,,,tên riêng (tự điền)
攸蘅,Youheng,,,,tên riêng (tự điền)
放心的角斗士,Đấu Sĩ Yên Tâm,,,,tên riêng (tự điền)
放牧隧群的青年,Thanh Niên Chăn <ano=Tunnel Herd>Toại Quần</ano>,,,,tên riêng (tự điền)
放空的研究员,Nghiên Cứu Viên Đang Thả Hồn,,,,tên riêng (tự điền)
故障的探隧重机,Máy Đào Hầm Trục Trặc,,,,tên riêng (tự điền)
故障的物流车,Xe Giao Hàng Bị Hỏng,,,,tên riêng (tự điền)
敏娜,Minna,,,,tên riêng (tự điền)
敏娜的终端,Thiết bị đầu cuối của Minna,,,,tên riêng (tự điền)
敏捷提升补给包·武器,1,,,,tên riêng (tự điền)
敏捷提升补给包·角色,Speaker_571_Name,,,,tên riêng (tự điền)
敏月,26.3%,,,,tên riêng (tự điền)
敏锐的观赛者,Khán Giả Tinh Tường,,,,tên riêng (tự điền)
敏零,Mẫn Linh,,,,tên riêng (tự điền)
救援队的徽章,<ano=Rescue Team's Insignia>Huy hiệu Đội cứu hộ</ano>,Rescue Team's Insignia,,,tên riêng (tự điền)
教务处教师,Giáo Viên Phòng Giáo Vụ,,,,tên riêng (tự điền)
教士,Giáo Sĩ,,,,tên riêng (tự điền)
教士的声音,Giọng Giáo Sĩ,,,,tên riêng (tự điền)
教官,Giáo quan,,,,tên riêng (tự điền)
教师,Giáo Viên,,,,tên riêng (tự điền)
教师沃斯,Giáo Viên Voss,,,,tên riêng (tự điền)
教廷人士,Người Của Giáo Đình,,,,tên riêng (tự điền)
教廷卫兵,Vệ binh Giáo đình,,,,tên riêng (tự điền)
教授打扮的频率,Tần Số Ăn Mặc Như Giáo Sư,,,,tên riêng (tự điền)
教授的虚影,Tùy Chọn,,,,tên riêng (tự điền)
散华,Vật liệu kinh nghiệm <ano=Echo>Echo</ano> không tồn tại,San'hua,,,tên riêng (tự điền)
散华的回音频段,K357,Sanhua's Reverberation Waveband,,,tên riêng (tự điền)
散华（通讯中）,[Trường Kiếm],,,,tên riêng (tự điền)
敬仰的民众,Người Dân Kính Trọng,,,,tên riêng (tự điền)
敬畏奇迹的少年【影视剪辑】,Thiếu Niên Kính Sợ Phép Màu [Dựng Phim],,,,tên riêng (tự điền)
敬请期待,"x:999.99, y:999.99, z:999.99",Stay tuned,,,tên riêng (tự điền)
数据芯片，可使用终端查阅内容。,[MAX],"Data chip, able to access its contents using a Terminal.",,,tên riêng (tự điền)
数羊游戏,Aalto đừng có lúc nào cũng coi người ta như con nít chứ!,Yin Yang Sheep,,,tên riêng (tự điền)
敲浪獭,Xao Lãng Thát,,,,tên riêng (tự điền)
整备物资的夜归士兵,%,,,,tên riêng (tự điền)
整流车站讲解员,Hướng Dẫn Viên Trạm Chỉnh Lưu,,,,tên riêng (tự điền)
整理耳麦的男人【电台记者】,Người Đàn Ông Chỉnh Tai Nghe [Phóng Viên Đài Phát Thanh],,,,tên riêng (tự điền)
整装待发的夜归士兵,Binh Sĩ Dạ Quy Chuẩn Bị Xong,,,,tên riêng (tự điền)
文书言,Wen Shuyan,,,,tên riêng (tự điền)
文叔,Không phải Nút nhiệm vụ con,,,,tên riêng (tự điền)
文叔（通讯中）,Chú Văn,,,,tên riêng (tự điền)
文学少女,Thiếu Nữ Văn Học,,,,tên riêng (tự điền)
文末,Chixia,,,,tên riêng (tự điền)
文武爆,Văn Võ Bạo,,,,tên riêng (tự điền)
文璐,Văn Lộ,,,,tên riêng (tự điền)
文畅,Wenchang,,,,tên riêng (tự điền)
文疏,Chixia,,,,tên riêng (tự điền)
文车,Văn Xa,,,,tên riêng (tự điền)
文霆,Wenting,,,,tên riêng (tự điền)
文静的孩子,Đứa Trẻ Tĩnh Lặng,,,,tên riêng (tự điền)
斐倪克斯,Phoenix,,,,tên riêng (tự điền)
斐尼克斯,Phoenix,,,,tên riêng (tự điền)
斐林,666,,,,tên riêng (tự điền)
斐林（通讯中）,Phỉ Lâm,,,,tên riêng (tự điền)
斐林（通讯）,Tinh chỉnh tiêu hao Echo (0/3),,,,tên riêng (tự điền)
斐迪,Fictro,,,,tên riêng (tự điền)
斐迪南,Ferdinand,,,,tên riêng (tự điền)
斗志昂扬的夜归士兵,5,,,,tên riêng (tự điền)
斗犬们（翻译）,Chó chiến (Dịch),,,,tên riêng (tự điền)
斜阳,Yangyang,,,,tên riêng (tự điền)
断尾青杂兔（翻译）,Thỏ tạp xanh đuôi cụt (Dịch),,,,tên riêng (tự điền)
斯万,Svanar,,,,tên riêng (tự điền)
斯卡布,Scab,,,,tên riêng (tự điền)
斯卡维兹,Scavitz,,,,tên riêng (tự điền)
斯塔夫,Stav,,,,tên riêng (tự điền)
斯塔尼克,Stanic,,,,tên riêng (tự điền)
斯塔巴克斯,Starbuck,,,,tên riêng (tự điền)
斯塔巴克斯（通讯）,Starbuck,,,,tên riêng (tự điền)
斯多蓓丽,Storbelle,,,,tên riêng (tự điền)
斯奇,+2222,,,,tên riêng (tự điền)
斯奎特,Skeet,,,,tên riêng (tự điền)
斯威珀,Sweeper,,,,tên riêng (tự điền)
斯威铂,Swiper,,,,tên riêng (tự điền)
斯威雷,Sverre,,,,tên riêng (tự điền)
斯宾塞,Spencer,,,,tên riêng (tự điền)
斯文的小孩,Đứa Trẻ Nho Nhã,,,,tên riêng (tự điền)
斯温司卡,Svenska,,,,tên riêng (tự điền)
斯特凡,Stefan,,,,tên riêng (tự điền)
斯特利奥斯,Stelios,,,,tên riêng (tự điền)
斯特劳瑟,Strother,,,,tên riêng (tự điền)
斯特拉波,Strabo,,,,tên riêng (tự điền)
斯特林,String,,,,tên riêng (tự điền)
斯特潘,Stepan,,,,tên riêng (tự điền)
斯特鲁斯,Struss,,,,tên riêng (tự điền)
斯福尔扎,Sforza,,,,tên riêng (tự điền)
斯福尔扎（Sforza）,Sforza,,,,tên riêng (tự điền)
斯科特,Scott,,,,tên riêng (tự điền)
斯维尔,Sverre,,,,tên riêng (tự điền)
斯菲尔,Spherra,,,,tên riêng (tự điền)
斯葵薇兰,Squivelan,,,,tên riêng (tự điền)
斯蒂安,Stian,,,,tên riêng (tự điền)
斯蒂格,Stig,,,,tên riêng (tự điền)
斯蒂芬妮,Stephanie,,,,tên riêng (tự điền)
斯隆,Sloan,,,,tên riêng (tự điền)
斯雅娜,Siana,,,,tên riêng (tự điền)
斯鸿,Lingyang,,,,tên riêng (tự điền)
新人巡尉,Tin rằng các em đã nghe vài <ano=letter>tin đồn</ano> về <ano=Hazy Depths>Hố Sâu Sương Mù</ano> rồi.,,,,tên riêng (tự điền)
新人执花,Người Cầm Hoa Mới,,,,tên riêng (tự điền)
新人教官,MAX,,,,tên riêng (tự điền)
新人流放者,Tác Dụng Hiệp Tấu,,,,tên riêng (tự điền)
新人研究员,Nhà Nghiên Cứu Mới,,,,tên riêng (tự điền)
新元,Xinyuan,,,,tên riêng (tự điền)
新兵,Tân binh,,,,tên riêng (tự điền)
新手工程师,Baizhi,,,,tên riêng (tự điền)
新手早餐店店主,Chủ tiệm điểm tâm mới vào nghề,,,,tên riêng (tự điền)
新手暗商,Thương nhân chợ đen mới vào nghề,,,,tên riêng (tự điền)
新来的愚人,2,,,,tên riêng (tự điền)
新枝地,Speaker_46_Name,New Branch,,,tên riêng (tự điền)
新生的树【人文爱好者】,Cây Non Mới Sinh [Người Yêu Văn Hóa],,,,tên riêng (tự điền)
新阳,UID:123456789,,,,tên riêng (tự điền)
方中朔,Fang Zhongshuo,,,,tên riêng (tự điền)
方周,Phương Chu,,,,tên riêng (tự điền)
方湘,Phương Tương,,,,tên riêng (tự điền)
施塔特,Stadt,,,,tên riêng (tự điền)
施泰因,Stein,,,,tên riêng (tự điền)
施瓦西,Schwarzschild,,,,tên riêng (tự điền)
旁听群众,Quần Chúng Dự Thính,,,,tên riêng (tự điền)
旁白,Lời Dẫn,,,,tên riêng (tự điền)
旁观的流放者,<ano=exile>Kẻ Lưu Đày</ano> Bàng Quan,,,,tên riêng (tự điền)
旁观的行政人员,Quản Trị Viên Đang Đứng Xem,,,,tên riêng (tự điền)
旅行波仔,Traveler Namipon,,,,tên riêng (tự điền)
旅途的见证者【摄影镜头】,Người Chứng Kiến Hành Trình [Ống Kính Quay Phim],,,,tên riêng (tự điền)
无业波仔,Namipon Thất Nghiệp,,,,tên riêng (tự điền)
无人的货架【大索拉百货】,Kệ Hàng Trống Không [Bách Hóa Solaris],,,,tên riêng (tự điền)
无光之森,Lingyang,Dim Forest,,,tên riêng (tự điền)
无光之森生态调查1,<ano=Scar>Scar</ano>,Dim Forest Ecological Survey (1),,,tên riêng (tự điền)
无光之森生态调查2,<ano=Scar>Scar</ano>,Dim Forest Ecological Survey (2),,,tên riêng (tự điền)
无光之森生态调查3,10%,Dim Forest Ecological Survey (3),,,tên riêng (tự điền)
无光之森生态调查4,<ano=Scar>Scar</ano>,Dim Forest Ecological Survey (4),,,tên riêng (tự điền)
无光之森生态调查5,99,Dim Forest Ecological Survey (5),,,tên riêng (tự điền)
无光之森生态调查总结,MAX,Dim Forest Ecological Survey (Conclusion),,,tên riêng (tự điền)
无光之森电力系统相关的注意事项,+20.8%,,,,tên riêng (tự điền)
无光之森隐藏通道里的数据卡。,Yangyang,Data card found in the hidden passage of the Dim Forest.,,,tên riêng (tự điền)
无冠者,x999,Crownless,,,tên riêng (tự điền)
无冠者之像,Speaker_110_Name,,,,tên riêng (tự điền)
无助的“英灵”,"""Anh Linh"" Bất Lực",,,,tên riêng (tự điền)
无助的女孩,Cô Gái Bất Lực,,,,tên riêng (tự điền)
无助的孩子,Đứa Trẻ Bất Lực,,,,tên riêng (tự điền)
无助的小日灵,Tinh Linh Mặt Trời Nhỏ Vô Trợ,,,,tên riêng (tự điền)
无名之人,Người Vô Danh,,,,tên riêng (tự điền)
无名演员1,4000,,,,tên riêng (tự điền)
无名演员2,Diễn Viên 2,,,,tên riêng (tự điền)
无名演员3,x99,,,,tên riêng (tự điền)
无名的研究员A,Nhà Nghiên Cứu Vô Danh A,,,,tên riêng (tự điền)
无名的研究员B,Nhà Nghiên Cứu Vô Danh B,,,,tên riêng (tự điền)
无名的研究员C,Nhà Nghiên Cứu Vô Danh C,,,,tên riêng (tự điền)
无名的研究员D,Nhà Nghiên Cứu Vô Danh D,,,,tên riêng (tự điền)
无名的研究员E,Nhà Nghiên Cứu Vô Danh E,,,,tên riêng (tự điền)
无名的骑士,55555555,,,,tên riêng (tự điền)
无名者的频率,Tần Số của Kẻ Vô Danh,,,,tên riêng (tự điền)
无名谕女的回响,Dư Âm Của Dụ Nữ Vô Danh,,,,tên riêng (tự điền)
无名金库员工1,Nhân Viên Ngân Hàng 1,,,,tên riêng (tự điền)
无名金库员工2,Nhân Viên Ngân Hàng 2,,,,tên riêng (tự điền)
无奈的前辈,Tiền Bối Bất Lực,,,,tên riêng (tự điền)
无奈的商贩,Người bán hàng bất lực,,,,tên riêng (tự điền)
无奈的校工,Bác lao công bất lực,,,,tên riêng (tự điền)
无奈的老人,Cụ Già Bất Đắc Dĩ,,,,tên riêng (tự điền)
无妄者·绝灭的兵刃,Vô Vọng Giả · Binh Khí Tuyệt Diệt,,,,tên riêng (tự điền)
无存残所,Aalto,Empty Depository,,,tên riêng (tự điền)
无归的谬误,Ngụy Biện Không Lối Về,,,,tên riêng (tự điền)
无归的谬误·无归之梦,UID: 5141142,,,,tên riêng (tự điền)
无念,Vô Niệm,,,,tên riêng (tự điền)
无感情的机械音,Giọng Máy Vô Cảm,,,,tên riêng (tự điền)
无所事事的路人,Người Qua Đường Nhàn Rỗi,,,,tên riêng (tự điền)
无旅,1,,,,tên riêng (tự điền)
无畏的修士,Tu Sĩ Quả Cảm,,,,tên riêng (tự điền)
无畏的教士,Giáo Sĩ Quả Cảm,,,,tên riêng (tự điền)
无畏的新兵,Tân binh vô úy,,,,tên riêng (tự điền)
无畏的角斗士,Đấu Sĩ Quả Cảm,,,,tên riêng (tự điền)
无铭探索者,Nhà Thám Hiểm Vô Danh,,,,tên riêng (tự điền)
无音区地质数据,<ano=Tacet Field Geological Data>Dữ Liệu Địa Chất Khu Vô Âm</ano> (<ano=Tacet Field>Vùng Vô Thanh</ano>/Dữ liệu),Tacet Field Geological Data,,,tên riêng (tự điền)
既夜,Ký Dạ,,,,tên riêng (tự điền)
既晨,Ký Thần,,,,tên riêng (tự điền)
日志残页,/,,,,tên riêng (tự điền)
日灵,Nhật Linh,,,,tên riêng (tự điền)
日灵们,Các Nhật Linh,,,,tên riêng (tự điền)
日龙,Nhật Long,,,,tên riêng (tự điền)
日龙副手,Phụ Tá Nhật Long,,,,tên riêng (tự điền)
日龙小弟,Đàn Em Nhật Long,,,,tên riêng (tự điền)
旧城遗址,Sửa tên Lữ Khách,Wasted Metropolis,,,tên riêng (tự điền)
旧日严肃的教师,Giáo Viên Nghiêm Nghị Ngày Xưa,,,,tên riêng (tự điền)
旧日开朗的罗伊人,Người Roya Vui Vẻ Ngày Xưa,,,,tên riêng (tự điền)
旧日恍惚的研究员,Nghiên Cứu Viên Bàng Hoàng Ngày Xưa,,,,tên riêng (tự điền)
旧日惊讶的学生,Học Sinh Kinh Ngạc Ngày Xưa,,,,tên riêng (tự điền)
旧日打趣的学生,Học Sinh Bông Đùa Ngày Xưa,,,,tên riêng (tự điền)
旧日温和的学生,Học Sinh Ôn Hòa Ngày Xưa,,,,tên riêng (tự điền)
旧日温和的罗伊人,Người Roya Ôn Hòa Ngày Xưa,,,,tên riêng (tự điền)
旧日的{PlayerName},{PlayerName} Năm Xưa,,,,tên riêng (tự điền)
旧日的学生们,Những Học Sinh Năm Xưa,,,,tên riêng (tự điền)
旧日的幻影,Ảo Ảnh Của Ngày Xưa,,,,tên riêng (tự điền)
旧日的教师,Giáo Viên Năm Xưa,,,,tên riêng (tự điền)
旧日的爱弥斯,Amis Năm Xưa,,,,tên riêng (tự điền)
旧日的研究员,Nghiên Cứu Viên Năm Xưa,,,,tên riêng (tự điền)
旧日的罗伊人,Người Roya Năm Xưa,,,,tên riêng (tự điền)
旧日的陆·赫斯,Lu Hess Của Ngày Xưa,,,,tên riêng (tự điền)
旧日细致的研究员,Nghiên Cứu Viên Tỉ Mỉ Ngày Xưa,,,,tên riêng (tự điền)
旧日若有所思的教师,Giáo Viên Trầm Tư Ngày Xưa,,,,tên riêng (tự điền)
旧日赞许的教师,Giáo Viên Tán Thưởng Ngày Xưa,,,,tên riêng (tự điền)
旧贵族女性,Người Phụ Nữ Quý Tộc Cũ,,,,tên riêng (tự điền)
旧贵族男性,Người Đàn Ông Quý Tộc Cũ,,,,tên riêng (tự điền)
早睡早起的日灵,<ano=Soliskin>Nhật Linh</ano> Ngủ Sớm Dậy Sớm,,,,tên riêng (tự điền)
旭空,Baizhi,,,,tên riêng (tự điền)
时谅,Thời Lượng,,,,tên riêng (tự điền)
时间注脚·九十一,<ano=Footnotes of Time>Chú thích Thời gian</ano> · Chín Mươi Mốt,Footnotes of Time - 91,,,tên riêng (tự điền)
时间注脚·九十三,<ano=Footnotes of Time>Chú thích Thời gian</ano> · Chín Mươi Ba,Footnotes of Time - 93,,,tên riêng (tự điền)
时间注脚·九十二,<ano=Footnotes of Time>Chú thích Thời gian</ano> · Chín Mươi Hai,Footnotes of Time - 92,,,tên riêng (tự điền)
时间注脚·九十五,2023/3/24,Footnotes of Time - 95,,,tên riêng (tự điền)
时间注脚·九十四,Yangyang,Footnotes of Time - 94,,,tên riêng (tự điền)
时髦研究员【妆造大师】,Nhà Nghiên Cứu Sành Điệu [Bậc Thầy Trang Điểm],,,,tên riêng (tự điền)
旷达,Khoáng Đạt,,,,tên riêng (tự điền)
旺财,Vượng Tài,,,,tên riêng (tự điền)
昂内斯,Onnes,,,,tên riêng (tự điền)
昂多,Ondo,,,,tên riêng (tự điền)
昂扬的呜獭獭,Ư Thát Thát Hăng Hái,,,,tên riêng (tự điền)
昆图斯,Quintus,,,,tên riêng (tự điền)
昆塔,Quinta,,,,tên riêng (tự điền)
昆托,1,,,,tên riêng (tự điền)
昆汀,Quentin,,,,tên riêng (tự điền)
昆顿,Quinton,,,,tên riêng (tự điền)
昌和,Xương Hòa,,,,tên riêng (tự điền)
昌文,Changwen,,,,tên riêng (tự điền)
明仲,Minh Trọng,,,,tên riêng (tự điền)
明叔,"Những phần tử nguy hiểm lưu lạc ở vùng <ano=wilderness>hoang dã</ano> các nước, đa phần Hành động theo đội, xuất hiện thành bầy, đối phó đơn lẻ thì khá dễ, mức độ nguy hiểm không cao.",,,,tên riêng (tự điền)
明奈,Mina,,,,tên riêng (tự điền)
明彩,Name,,,,tên riêng (tự điền)
明悟,Mingwu,,,,tên riêng (tự điền)
明明,Minh Minh,,,,tên riêng (tự điền)
明椎,"Về chuyện của cậu, Taoqi đã kể hết với ta rồi.",,,,tên riêng (tự điền)
明泽,Chixia,,,,tên riêng (tự điền)
明海,Minghai,,,,tên riêng (tự điền)
明煜,Minh Dục,,,,tên riêng (tự điền)
明珠,Minh Châu,,,,tên riêng (tự điền)
明相,Minh Tương,,,,tên riêng (tự điền)
明砚,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
明砚心声,500m,,,,tên riêng (tự điền)
明筹,Minh Trù,,,,tên riêng (tự điền)
明虎,Minh Hổ,,,,tên riêng (tự điền)
明镜,26.30%,,,,tên riêng (tự điền)
明雍,Minh Ung,,,,tên riêng (tự điền)
易飞,Dịch Phi,,,,tên riêng (tự điền)
易驰,Yangyang cứ liên lạc không được… lỡ như cô ấy…,,,,tên riêng (tự điền)
昔日的清宵,Qingxiao Ngày Trước,,,,tên riêng (tự điền)
昔日的静微,Jingwei Ngày Trước,,,,tên riêng (tự điền)
昕宇,Hân Vũ,,,,tên riêng (tự điền)
星图研究员,Nghiên Cứu Viên Tinh Đồ,,,,tên riêng (tự điền)
星图领航员,Hoa Tiêu Tinh Đồ,,,,tên riêng (tự điền)
星垂江,Speaker_92_Name,Star Gaze River,,,tên riêng (tự điền)
星炬学院,Học viện Startorch,,,,tên riêng (tự điền)
星炬学院学生会,Hội Học Sinh Học viện Startorch,,,,tên riêng (tự điền)
星炬学院教务系统,Hệ Thống Giáo Vụ Học viện Startorch,,,,tên riêng (tự điền)
星炬学院教师,Giáo viên Học viện Startorch,,,,tên riêng (tự điền)
映里,Eiri,,,,tên riêng (tự điền)
春和,Xác nhận chuyển Lữ Khách?,,,,tên riêng (tự điền)
春晖,Aalto,,,,tên riêng (tự điền)
昴星,Mão Tinh,,,,tên riêng (tự điền)
昼梭,Trú Thoa,,,,tên riêng (tự điền)
晋陆,Lv: 111,,,,tên riêng (tự điền)
晏伯,Yến Bá,,,,tên riêng (tự điền)
晏宁,Yangyang,,,,tên riêng (tự điền)
晏梓,Jinhsi,,,,tên riêng (tự điền)
晓卫,1.\n2.\n3.,,,,tên riêng (tự điền)
晓卫士兵,Lính Hiểu Vệ,,,,tên riêng (tự điền)
晓春,Hiểu Xuân,,,,tên riêng (tự điền)
晓萱,Xiaoxuan,,,,tên riêng (tự điền)
晖朗,Huy Lãng,,,,tên riêng (tự điền)
晗霜,Hàm Sương,,,,tên riêng (tự điền)
普布利,Publi,,,,tên riêng (tự điền)
普布留斯,Publius,,,,tên riêng (tự điền)
普拉米,Prami,,,,tên riêng (tự điền)
普替尼,Putini,,,,tên riêng (tự điền)
普朗克,Planck,,,,tên riêng (tự điền)
普林尼奥,Plinio,,,,tên riêng (tự điền)
普洛托娜,Plotona,,,,tên riêng (tự điền)
普洛特,Plot,,,,tên riêng (tự điền)
普缇斯,Putis,,,,tên riêng (tự điền)
普罗斯,Prinzhorn,,,,tên riêng (tự điền)
普莱斯,Price,,,,tên riêng (tự điền)
普菲茨纳,Fitzner,,,,tên riêng (tự điền)
普通流放者,Aalto,,,,tên riêng (tự điền)
普通：橡胶手环,100000m,Normal Grade: Rubber Bracelet,,,tên riêng (tự điền)
普通：首领铭牌（橡胶）,Yangyang,Common: Leader Nameplate (Rubber),,,tên riêng (tự điền)
普里西拉,Priscilla,,,,tên riêng (tự điền)
普鲁托,Pluto,,,,tên riêng (tự điền)
景叔,12:00,,,,tên riêng (tự điền)
景明,Tiếng Trung Giản Thể,,,,tên riêng (tự điền)
景星,Cảnh Tinh,,,,tên riêng (tự điền)
景烛,Cảnh Chúc,,,,tên riêng (tự điền)
景烛（通讯中）,Cảnh Chúc (Đang <ano=transmission>liên lạc</ano>),,,,tên riêng (tự điền)
景煜,"Nhân vật gây sát thương, hoặc thông qua việc sử dụng dị năng của Echo v.v., đều có thể tích lũy giá trị Hiệp Tấu.\nKhi giá trị Hiệp Tấu đầy, chuyển đổi nhân vật sẽ kích hoạt hiệu quả Hiệp Tấu tương ứng theo thuộc tính của Cộng Hưởng Giả xuất trận, và tiêu hao giá trị Hiệp Tấu.",,,,tên riêng (tự điền)
景燃,Jingran,,,,tên riêng (tự điền)
晴岚,Tình Lam,,,,tên riêng (tự điền)
晴日,Tăng Tấn Công,,,,tên riêng (tự điền)
晴淑,20,,,,tên riêng (tự điền)
晴淑（通讯中）,Tình Thục,,,,tên riêng (tự điền)
晴虹,"Hơn nữa, nếu là Yangyang thì… không có gì, mong các cậu hoàn thành nhiệm vụ.",,,,tên riêng (tự điền)
晴雁,Tình Nhạn,,,,tên riêng (tự điền)
晶化叶片,Baizhi,,,,tên riêng (tự điền)
智能助理,Trợ lý thông minh,,,,tên riêng (tự điền)
暄荷,Xuanhe,,,,tên riêng (tự điền)
暗中调查的女子【便衣警官】,Người Phụ Nữ Điều Tra Ngầm [Cảnh Sát Mặc Thường Phục],,,,tên riêng (tự điền)
暗面·塞维,Mặt Tối · Sevi,,,,tên riêng (tự điền)
暗面涡心,Tâm Xoáy Mặt Tối,,,,tên riêng (tự điền)
暴徒流放者,666,,,,tên riêng (tự điền)
暴行骑士,8777,,,,tên riêng (tự điền)
暴躁流放者,Kẻ Lưu Đày Nóng Nảy,,,,tên riêng (tự điền)
暴躁的「赎罪者」,10/30,,,,tên riêng (tự điền)
暴躁的学生,Học Sinh Cáu Kỉnh,,,,tên riêng (tự điền)
暴躁的残星会造匠,Phím,,,,tên riêng (tự điền)
暴躁的流放者,Lv.18,,,,tên riêng (tự điền)
曦洛,Hi Lạc,,,,tên riêng (tự điền)
曦钏,Hi Xuyến,,,,tên riêng (tự điền)
曲秀,Khúc Tú,,,,tên riêng (tự điền)
曲觅,Name1,,,,tên riêng (tự điền)
曲问,99:99:99,,,,tên riêng (tự điền)
曲鸢,Khúc Diên,,,,tên riêng (tự điền)
曼尼,Manny,,,,tên riêng (tự điền)
曼恩,Mann,,,,tên riêng (tự điền)
月台守护者,Người Bảo Vệ Sân Ga,,,,tên riêng (tự điền)
月度养成补给包,"<ano=Scar>Scar</ano>, mọi chuyện đến đây là kết thúc.",Monthly Development Supplies Pack,,,tên riêng (tự điền)
月度期权,Speaker_587_Name,Monthly Membership,,,tên riêng (tự điền)
月度期权兑换券,888,Monthly Option Voucher,,,tên riêng (tự điền)
月度期权的兑换凭证。,888,Redemption voucher for the Monthly Option.,,,tên riêng (tự điền)
月度期权的购买凭证。,Tiêu hao Nguyên liệu,Proof of purchase for the Monthly Option.,,,tên riêng (tự điền)
月藻,Speaker_319_Name,Moonweed,,,tên riêng (tự điền)
有些模糊的铭文,Dòng Chữ Khắc Hơi Mờ,,,,tên riêng (tự điền)
有些焦急的学生,Học Sinh Có Chút Sốt Ruột,,,,tên riêng (tự điền)
有些熟悉的吼声,Tiếng Gầm Hơi Quen Thuộc,,,,tên riêng (tự điền)
有尾青杂兔（翻译）,Thỏ tạp xanh có đuôi (Dịch),,,,tên riêng (tự điền)
有文化的流放者,<ano=exile>Kẻ Lưu Đày</ano> Có Học Thức,,,,tên riêng (tự điền)
有气无力的学生,Học Sinh Uể Oải,,,,tên riêng (tự điền)
有气无力的老人,Ông Lão Uể Oải,,,,tên riêng (tự điền)
有经验的匠人,Người thợ có kinh nghiệm,,,,tên riêng (tự điền)
